step,regret
1,2.0870676040649414
2,4.033067941665649
3,7.1309826374053955
4,9.509093046188354
5,11.956480741500854
6,13.573239803314209
7,16.23799180984497
8,18.968426942825317
9,21.69376802444458
10,22.82517957687378
11,25.67610502243042
12,29.729225635528564
13,32.06328248977661
14,34.47670841217041
15,36.30734419822693
16,39.25867176055908
17,42.35021781921387
18,44.464659452438354
19,46.86077332496643
20,49.477463483810425
21,51.859699964523315
22,54.22039771080017
23,58.4495050907135
24,60.68290996551514
25,63.44830584526062
26,65.45087051391602
27,67.82653570175171
28,71.69554710388184
29,74.20230340957642
30,76.66118001937866
31,79.3327043056488
32,82.3423228263855
33,85.5678870677948
34,87.55728673934937
35,90.08632230758667
36,92.83488416671753
37,95.92837285995483
38,98.45297169685364
39,101.3025712966919
40,101.98527067899704
41,106.49009770154953
42,108.89482897520065
43,110.47192484140396
44,111.96242100000381
45,114.75259286165237
46,116.71180361509323
47,120.032401740551
48,123.73152178525925
49,126.42863863706589
50,128.17269748449326
51,130.23264783620834
52,132.7510728240013
53,135.47420543432236
54,138.78178018331528
55,141.73767799139023
56,144.2416233420372
57,147.53090661764145
58,151.1877674460411
59,152.62534493207932
60,153.38846457004547
61,156.31993496418
62,158.93939340114594
63,161.63531720638275
64,163.10108864307404
65,165.5200344324112
66,168.05987656116486
67,170.98125565052032
68,173.3061205148697
69,175.8003021478653
70,177.78415858745575
71,180.21279656887054
72,182.55828940868378
73,185.95072281360626
74,187.98165237903595
75,190.34087717533112
76,194.8786164522171
77,196.75271689891815
78,201.40097749233246
79,204.87711918354034
80,207.3650003671646
81,210.6750375032425
82,212.96206200122833
83,215.74925243854523
84,218.3601394891739
85,221.34370458126068
86,224.25381934642792
87,226.32637226581573
88,229.2228251695633
89,232.7253738641739
90,236.06048834323883
91,240.2059508562088
92,242.19656801223755
93,245.84278631210327
94,249.48928022384644
95,251.1266711950302
96,254.92229044437408
97,259.17067444324493
98,263.692511677742
99,266.78766000270844
100,268.29106771945953
