step,regret
1,1.8747172355651855
2,3.775801420211792
3,5.223229646682739
4,7.012041926383972
5,8.614862442016602
6,12.026638507843018
7,14.956411361694336
8,18.189186573028564
9,20.59208106994629
10,23.015100717544556
11,24.68183422088623
12,27.187108993530273
13,28.819126844406128
14,31.3881938457489
15,33.37132549285889
16,35.685620069503784
17,38.24979901313782
18,40.79621386528015
19,43.27232885360718
20,45.792341232299805
21,48.64682102203369
22,50.72704219818115
23,52.40135633945465
24,54.30080235004425
25,56.81238353252411
26,59.135679602622986
27,62.59561240673065
28,64.6832834482193
29,67.8325229883194
30,71.00645625591278
31,73.20509564876556
32,76.28225529193878
33,79.57815659046173
34,82.18072283267975
35,84.9268206357956
36,86.89442145824432
37,88.93390333652496
38,90.9994684457779
39,93.46653664112091
40,98.59980165958405
41,101.57724916934967
42,104.58613622188568
43,107.82434976100922
44,109.26400196552277
45,112.11074459552765
46,115.11489999294281
47,116.89867746829987
48,120.49533188343048
49,123.17848336696625
50,125.2203506231308
51,127.28080260753632
52,129.54997193813324
53,133.02981889247894
54,134.72293531894684
55,137.16736805438995
56,139.61680710315704
57,142.25694453716278
58,144.93227446079254
59,147.63455307483673
60,150.46044504642487
61,153.58657467365265
62,155.60307323932648
63,158.60424172878265
64,162.92788875102997
65,166.21618330478668
66,168.62617075443268
67,171.180703997612
68,174.15024554729462
69,177.2378875017166
70,179.02936470508575
71,181.7141808271408
72,184.8390144109726
73,187.56607520580292
74,189.13521575927734
75,190.68691289424896
76,193.2877563238144
77,195.0192379951477
78,196.64313912391663
79,198.90993523597717
80,201.92228150367737
81,204.07351565361023
82,205.63091564178467
83,208.20223569869995
84,211.37854194641113
85,214.13297986984253
86,216.4974389076233
87,218.41325092315674
88,220.1605874300003
89,222.63141071796417
90,225.7631198167801
91,229.01867401599884
92,232.72335922718048
93,235.84050142765045
94,238.4609500169754
95,240.17213308811188
96,242.9410721063614
97,244.76562809944153
98,247.232572555542
99,249.0078206062317
100,252.3491189479828
101,255.0159878730774
102,257.7073690891266
103,259.0116847753525
104,263.3446344137192
105,265.8543714284897
106,268.4514206647873
107,271.1560653448105
108,274.91123139858246
109,277.7790170907974
110,281.4334625005722
111,284.6245309114456
112,287.7662879228592
113,290.29232370853424
114,292.87246119976044
115,296.2203279733658
116,298.71554958820343
117,300.9036303758621
118,303.2247906923294
119,305.1704250574112
120,309.5876761674881
121,312.0089889764786
122,313.9448870420456
123,316.76202714443207
124,319.44403326511383
125,321.5604809522629
126,324.36843860149384
127,326.4820302724838
128,330.7438291311264
129,333.35500609874725
130,336.1557468175888
131,338.93411695957184
132,341.0938674211502
133,343.44440615177155
134,346.6379328966141
135,349.4900060892105
136,352.2494045495987
137,353.6372500658035
138,357.492747426033
139,359.8744274377823
140,361.51498341560364
141,363.13460648059845
142,365.88864529132843
143,369.2267962694168
144,372.26025545597076
145,374.17462980747223
146,375.05741465091705
147,378.99956953525543
148,381.055407166481
149,383.4926279783249
150,385.40383768081665
151,387.4789922237396
152,391.950266122818
153,394.53800892829895
154,395.1217193007469
155,397.6209668517113
156,401.18764394521713
157,403.3057422041893
158,405.9578656554222
159,408.73005813360214
160,411.37615913152695
161,413.4212655425072
162,418.1949309706688
163,419.7072737812996
164,421.5490851998329
165,423.7638335824013
166,427.3188119530678
167,431.25062519311905
168,433.7002812027931
169,436.0529118180275
170,437.3622663617134
171,439.7483370900154
172,443.050854742527
173,444.77673238515854
174,447.0343145728111
175,449.02798050642014
176,451.0743381381035
177,454.19738095998764
178,457.09566539525986
179,460.50657027959824
180,464.31615990400314
181,467.1360256075859
182,469.6368207335472
183,471.80869096517563
184,473.97737020254135
185,476.5197462439537
186,477.7495087981224
187,480.23866552114487
188,482.5127291083336
189,486.14777034521103
190,488.7619177699089
191,491.6419205069542
192,493.2717190384865
193,496.0675862431526
194,499.0751102566719
195,501.34247785806656
196,503.36406594514847
197,506.5910287499428
198,510.2509132027626
199,512.9402492642403
200,514.4061123728752
