step,regret
1,2.0053281784057617
2,3.903032064437866
3,6.913479566574097
4,8.893899321556091
5,10.680662035942078
6,12.956416964530945
7,15.087303042411804
8,16.73879635334015
9,18.788955807685852
10,21.58147895336151
11,23.71154773235321
12,25.772339463233948
13,27.083502173423767
14,29.493736386299133
15,32.10665190219879
16,34.329107880592346
17,35.928348660469055
18,37.72750103473663
19,39.474045634269714
20,40.83374583721161
21,42.77676618099213
22,45.974984526634216
23,48.57236182689667
24,50.19855833053589
25,52.07276153564453
26,53.35840594768524
27,55.15002965927124
28,56.87062335014343
29,58.800095558166504
30,60.90444469451904
31,63.33878993988037
32,65.12690103054047
33,67.26589000225067
34,69.36804687976837
35,71.3526440858841
36,72.3929979801178
37,74.03747606277466
38,76.90188241004944
39,79.33262133598328
40,81.9567506313324
41,84.54591155052185
42,86.5124077796936
43,89.62238907814026
44,91.8690824508667
45,93.86862707138062
46,94.95068287849426
47,96.64050126075745
48,98.0695925951004
49,100.54949080944061
50,102.75949251651764
